feature,importance_mean,importance_std
number_inpatient,0.06254422223143016,0.0017562232682002202
diag_1,0.009160490322828252,0.0007724043360943679
discharge_disposition_id,0.0037448354208692246,0.000693477345960847
medical_specialty,0.0033396795528147505,0.0006778544448875908
number_emergency,0.002498869236331419,0.0009828206125683213
diag_3,0.0023044092835074414,0.0007437667482865197
diabetesMed,0.0022986258093020406,0.00020063872220986518
diag_2,0.002286756563521608,0.00042035466171723017
insulin,0.0018566526876907408,0.00024511627039070123
age,0.001670994644834678,0.00022774862214678033
admission_source_id,0.0012477511789831864,0.000255347792199996
admission_type_id,0.0010241352094334355,0.0003263053536123656
payer_code,0.0010097936216837578,0.0005156708547168962
num_procedures,0.0009130217262916185,0.0002936650514679109
weight,0.0006063703713360847,0.00034740647821009926
A1Cresult,0.00048290643402501,0.00029375769498352777
metformin,0.00046447235338236136,0.00027559570061028523
num_medications,0.00038169356685334167,0.00030208918990546225
glipizide,0.00029699201550404395,0.00028506315871099037
acarbose,0.0002395815778498789,0.00019983360827718837
rosiglitazone,0.0001908967803658401,0.0001476939233749875
chlorpropamide,0.00015518900929641365,7.329181642870326e-05
number_diagnoses,0.00012380046935239197,0.0003680544279694936
nateglinide,9.406457825485992e-05,4.5463106888428584e-05
repaglinide,5.03078466535356e-05,0.000240433594775944
glyburide,4.2591312342360464e-05,6.178057539967238e-05
miglitol,2.9931663394472397e-05,2.7403437912552915e-05
glyburide-metformin,1.6487156207867225e-05,3.051956184861152e-05
tolbutamide,1.8105220079500662e-06,2.552968160147592e-05
acetohexamide,1.666308819481266e-07,5.4788070246081155e-06
metformin-pioglitazone,0.0,0.0
glimepiride-pioglitazone,0.0,0.0
metformin-rosiglitazone,0.0,0.0
examide,0.0,0.0
citoglipton,0.0,0.0
tolazamide,-3.009569266254619e-06,3.093548332911902e-06
pioglitazone,-1.522678116455678e-05,0.00022699994314998495
number_outpatient,-1.730920938630698e-05,4.809840553948396e-05
troglitazone,-2.930906838122804e-05,1.4499227881210244e-05
glipizide-metformin,-3.9403385539005244e-05,2.41119915904664e-05
change,-8.429001281815007e-05,0.0002109244215902378
glimepiride,-8.893842036515331e-05,0.00012370933055783182
num_lab_procedures,-0.00011032390550890226,0.00015896058578015437
race,-0.0001105616824521094,0.0002708426504259476
time_in_hospital,-0.00011738479948337765,0.00015429306922149804
gender,-0.00015735825307395813,4.702232116279929e-05
max_glu_serum,-0.0006594031218654095,0.0002916154251635137
